nameCommon,nameVariable,category,categoryID,type,targetInitial,targetMin,targetMax,includeApp,includeJust,justification
Deep Lagoon (Coral),coral_algae_deep_lagoon,Corals,Corals,Feature,30,0,85,TRUE,TRUE,"The Coral/Algae class in the deep lagoon. The Coral/Algae class has a hard underlying framework (usually limestone) with a covering of coral (including soft coral) and/or seaweeds (including macroalgae and turf algae). Coral/Algae is topographically complex and supports high animal diversity and biomass. Both corals and algae are photosynthetic and have similar spectral signatures, making them difficult to distinguish by remote sensing."
Inner Reef Flat (Coral),coral_algae_inner_reef_flat,Corals,Corals,Feature,30,0,85,TRUE,TRUE,"The Coral/Algae class on the inner reef flat. The Coral/Algae class has a hard underlying framework (usually limestone) with a covering of coral (including soft coral) and/or seaweeds (including macroalgae and turf algae). Coral/Algae is topographically complex and supports high animal diversity and biomass. Both corals and algae are photosynthetic and have similar spectral signatures, making them difficult to distinguish by remote sensing."
Outer Reef Flat (Coral),coral_algae_outer_reef_flat ,Corals,Corals,Feature,30,0,85,TRUE,TRUE,"The Coral/Algae class in the outer reef flat. The Coral/Algae class has a hard underlying framework (usually limestone) with a covering of coral (including soft coral) and/or seaweeds (including macroalgae and turf algae). Coral/Algae is topographically complex and supports high animal diversity and biomass. Both corals and algae are photosynthetic and have similar spectral signatures, making them difficult to distinguish by remote sensing."
Plateau (Coral),coral_algae_plateau,Corals,Corals,Feature,30,0,85,TRUE,TRUE,"The Coral/Algae class on the reef plateau. The Coral/Algae class has a hard underlying framework (usually limestone) with a covering of coral (including soft coral) and/or seaweeds (including macroalgae and turf algae). Coral/Algae is topographically complex and supports high animal diversity and biomass. Both corals and algae are photosynthetic and have similar spectral signatures, making them difficult to distinguish by remote sensing."
Reef Crest (Coral),coral_algae_reef_crest,Corals,Corals,Feature,30,0,85,TRUE,TRUE,"The Coral/Algae class on the reef crest. The Coral/Algae class has a hard underlying framework (usually limestone) with a covering of coral (including soft coral) and/or seaweeds (including macroalgae and turf algae). Coral/Algae is topographically complex and supports high animal diversity and biomass. Both corals and algae are photosynthetic and have similar spectral signatures, making them difficult to distinguish by remote sensing."
Reef Slope (Coral),coral_algae_reef_slope,Corals,Corals,Feature,30,0,85,TRUE,TRUE,"The Coral/Algae class on the reef slope. The Coral/Algae class has a hard underlying framework (usually limestone) with a covering of coral (including soft coral) and/or seaweeds (including macroalgae and turf algae). Coral/Algae is topographically complex and supports high animal diversity and biomass. Both corals and algae are photosynthetic and have similar spectral signatures, making them difficult to distinguish by remote sensing."
Shallow Lagoon (Coral),coral_algae_shallow_lagoon,Corals,Corals,Feature,30,0,85,TRUE,TRUE,"The Coral/Algae class in the shallow lagoon. The Coral/Algae class has a hard underlying framework (usually limestone) with a covering of coral (including soft coral) and/or seaweeds (including macroalgae and turf algae). Coral/Algae is topographically complex and supports high animal diversity and biomass. Both corals and algae are photosynthetic and have similar spectral signatures, making them difficult to distinguish by remote sensing."
Sheltered Reef Slope (Coral),coral_algae_sheltered_reef_slope,Corals,Corals,Feature,30,0,85,TRUE,TRUE,"The Coral/Algae class on the sheltered reef slope. The Coral/Algae class has a hard underlying framework (usually limestone) with a covering of coral (including soft coral) and/or seaweeds (including macroalgae and turf algae). Coral/Algae is topographically complex and supports high animal diversity and biomass. Both corals and algae are photosynthetic and have similar spectral signatures, making them difficult to distinguish by remote sensing."
Terrestrial Reef Flat (Coral),coral_algae_terrestrial_reef_flat,Corals,Corals,Feature,30,0,85,TRUE,TRUE,"The Coral/Algae class on the terrestrial reef flat. The Coral/Algae class has a hard underlying framework (usually limestone) with a covering of coral (including soft coral) and/or seaweeds (including macroalgae and turf algae). Coral/Algae is topographically complex and supports high animal diversity and biomass. Both corals and algae are photosynthetic and have similar spectral signatures, making them difficult to distinguish by remote sensing."
Deep Lagoon (Seagrass),seagrass_deep_lagoon,Seagrass,Seagrass,Feature,30,0,85,TRUE,TRUE,A Seagrass dominated habitat on a soft bottom in the deep lagoon. From the Allen Coral Atlas.
Reef Flat (Seagrass),seagrass_inner_reef_flat,Seagrass,Seagrass,Feature,30,0,85,TRUE,TRUE,A Seagrass dominated habitat on a soft bottom on the inner reef flat. From the Allen Coral Atlas.
Reef Slope (Seagrass),seagrass_reef_slope,Seagrass,Seagrass,Feature,30,0,85,TRUE,TRUE,A Seagrass dominated habitat on a soft bottom on the reef slope. From the Allen Coral Atlas.
Shallow Lagoon (Seagrass),seagrass_shallow_lagoon,Seagrass,Seagrass,Feature,30,0,85,TRUE,TRUE,A Seagrass dominated habitat on a soft bottom in the shallow lagoon. From the Allen Coral Atlas.
Sheltered Reef Slope (Seagrass),seagrass_sheltered_reef_slope,Seagrass,Seagrass,Feature,30,0,85,TRUE,TRUE,A Seagrass dominated habitat on a soft bottom on the sheltered reef slope. From the Allen Coral Atlas.
Terrestrial Reef Flat (Seagrass),seagrass_terrestrial_reef_flat,Seagrass,Seagrass,Feature,30,0,85,TRUE,TRUE,A Seagrass dominated habitat on a soft bottom on the reef flat. From the Allen Coral Atlas.
Rock,rock,Reefs,Reefs,Feature,30,0,85,TRUE,TRUE,Rock is a hard substrate that provides habitat for sessile marine life. From the Allen Coral Watch Atlas.
Rubble,rubble,Reefs,Reefs,Feature,30,0,85,TRUE,TRUE,"Rubble is a natural part of a coral reef ecosystem, comprising broken dead coral skeletons and rock fragments. It is created by physical disturbances such as storms and anchor damage, and provides some habitat for sessile marine life. From the Allen Coral Watch Atlas."
Sand,sand,Reefs,Reefs,Feature,30,0,85,TRUE,TRUE,"Sand is a soft-bottom area with fine, unconsolidated sediments. It has animals living on the surface (epifauna) and in the sediment (infauna). From the Allen Coral Watch Atlas."
Trend under Low Emissions (SSP-245),slpTrends_245,Temperature Trend,TempTrend,Climate,NA,NA,NA,TRUE,TRUE,"SSP2-4.5 is an intermediate greenhouse gas emission scenario, with CO2 emissions around current levels until 2050, then falling but not reaching net zero by 2100."
Trend under Medium Emisions (SSP-370),slpTrends_370,Temperature Trend,TempTrend,Climate,NA,NA,NA,TRUE,TRUE,"SSP3-7.0 is a high greenhouse gas emission scenario, with CO2 emissions doubling by 2100."
Trend under High Emissions (SSP-585),slpTrends_585,Temperature Trend,TempTrend,Climate,NA,NA,NA,TRUE,TRUE,"SSP5-8.5 is a very high greenhouse gas emission scenario, with CO2 emissions tripling by 2075."
"Trend under High Emissions (High-Res, SSP-585)",slpTrends_HR,Temperature Trend,TempTrend,Climate,NA,NA,NA,FALSE,FALSE,"SSP5-8.5 is a very high greenhouse gas emission scenario, with CO2 emissions tripling by 2075."
Distance to Coast,Cost_Distance,Cost: Other,Cost,Cost,NA,NA,NA,TRUE,TRUE,"Uses the distance from the coast as the cost layer, with distances further from the coast having higher cost. This mirrors the extra fuel consumption, longer travel time, and greater wear on the engine."
No Cost,Cost_None,Cost: Other,Other,Cost,NA,NA,NA,TRUE,TRUE,"No cost layer is used. In this instance, the size of the planning units is used as the cost, but because (usually) all planning units have the same size, the cost of selecting any planning unit is the same."
Global Fishing Watch (Hours),Cost_FishingHrs,Global Fishing Watch,GFW,Cost,NA,NA,NA,FALSE,FALSE,"The number of fishing hours, measured in hours of inferred fishing activity per square kilometer, from AIS data on fishing vessels. From Global Fishing Watch."
Continental Shelf,shelf,Depth Zones,Depth,Feature,30,0,85,TRUE,TRUE,"The upper 0-200 m in the ocean. It contains all primary producers in the ocean, and most of the marine life is restricted to this depth or vertically migrates into this depth zone (e.g. seabirds, sea turtles, tuna)."
Continental Slope,slope,Depth Zones,Depth,Feature,30,0,85,TRUE,TRUE,Between 200-1000 m deep. Also known as the twilight zone because of the dim light conditions. Contains unique biodiversity.
Aquaculture,aquaculture,Ocean Use Survey,OUS,LockIn,NA,NA,NA,TRUE,TRUE,"Aquaculture is the farming of marine and freshwater finfish, shellfish, aquatic plants, algae and other organisms. It is an important source of revenue in many nations in the Global South."
Aquaculture,aquaculture,Ocean Use Survey,OUS,LockOut,NA,NA,NA,TRUE,TRUE,"Aquaculture is the farming of marine and freshwater finfish, shellfish, aquatic plants, algae and other organisms. It is an important source of revenue in many nations in the Global South."
Community Recreational Use,community_recreational_use,Ocean Use Survey,OUS,Feature,30,0,85,TRUE,TRUE,"The areas used for community recreational use such as swimming, norkeling, Kayaking, Canoe Racing and other uses. This data is derived from the Ocean Use Survey."
Construction and Infrastructure,construction_and_infrastructure,Ocean Use Survey,OUS,LockOut,NA,NA,NA,TRUE,TRUE,"The areas used for construction and infrastructure development such as Beach Mining, Dredging Reef Flats, Reclamation of Mangrove and Shoreline Areas, Seawall Construction, Road Construction (across wetland/mangrove areas), Altering stream/swamp drainage patterns and Port improvement projects. This data is derived from the Ocean Use Survey."
Cultural Use,cultural_use,Ocean Use Survey,OUS,Feature,30,0,85,TRUE,TRUE,"The areas used for cultural uses such as Historical Sites, Handicrafts, Turtle Harvesting, Wood Preservation and Food Preservation. This data is derived from the Ocean Use Survey."
Fisheries,fisheries,Ocean Use Survey,OUS,Cost,NA,NA,NA,TRUE,TRUE,"The areas used for fisheries uses such as Home consumption, Church/Cultural uses, shared with family abroad or for commercial sale. This data is derived from the Ocean Use Survey."
Maritime Activity,maritime_activity,Ocean Use Survey,OUS,Cost,30,0,85,TRUE,TRUE,"The areas used for maritime activities such as Inter-island Transportation, Shipping, Enforcement and Commercial Transshipment. This data is derived from the Ocean Use Survey."
Research,research,Ocean Use Survey,OUS,LockIn,30,0,85,TRUE,TRUE,The areas used for scientific or research purposes. This data is derived from the Ocean Use Survey.
Tourism,tourism,Ocean Use Survey,OUS,LockIn,NA,NA,NA,TRUE,TRUE,"The areas uses for tourism related purposes such as Diving, Surfing, Paddleboarding, Snorkeling and Swimming. This data is derived from the Ocean Use Survey."
Transportation,transportation,Ocean Use Survey,OUS,Feature,30,0,85,FALSE,FALSE,The areas used for transportation. This data is derived from the Ocean Use Survey.
Aquaculture: Clam Farming,clam_farming,Ocean Use Survey,Aquaculture,Feature,30,0,85,FALSE,FALSE,The areas used for Clam Farming Aquaculture. This data is derived from the Ocean Use Survey.
Aquaculture: Coral Farming,coral_farming,Ocean Use Survey,Aquaculture,Feature,30,0,85,FALSE,FALSE,The areas used for Coral Farming Aquaculture. This data is derived from the Ocean Use Survey.
Aquaculture: Finfish Farming,finfish_farming,Ocean Use Survey,Aquaculture,Feature,30,0,85,FALSE,FALSE,The areas used for Finfish Farming Aquaculture. This data is derived from the Ocean Use Survey.
Aquaculture: Sea Cucumber Farming,sea_cucumber_farming,Ocean Use Survey,Aquaculture,Feature,30,0,85,FALSE,FALSE,The areas used for Sea Cucumber Aquaculture. This data is derived from the Ocean Use Survey.
Aquaculture: Trochus Farming,trochus_farming,Ocean Use Survey,Aquaculture,Feature,30,0,85,FALSE,FALSE,The areas used for Trochus Farming Aquaculture. This data is derived from the Ocean Use Survey.
Construction: Beach Mining,beach_mining,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Beach Mining. This data is derived from the Ocean Use Survey.
Construction: Dredging Reef Flats,dredging_reef_flats,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Dredging Reef Flats. This data is derived from the Ocean Use Survey.
Construction: Port Improvement Projects,port_improvement_projects,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Port Improvement Projects. This data is derived from the Ocean Use Survey.
Construction: Reclamation of Mangrove and Shoreline Areas,reclamation_of_mangrove_and_shoreline_areas,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Reclamation of Mangrove and Shoreline Areas. This data is derived from the Ocean Use Survey.
Construction: Road Construction,road_construction,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Road Construction. This data is derived from the Ocean Use Survey.
Construction: Seawall Construction,seawall_construction,Ocean Use Survey,Construction,Feature,30,0,85,FALSE,FALSE,The areas used for Seawall Construction. This data is derived from the Ocean Use Survey.
Cultural: Handicrafts,handicrafts,Ocean Use Survey,Cultural,Feature,30,0,85,TRUE,TRUE,The areas used for Cultural Handicrafts. This data is derived from the Ocean Use Survey.
Cultural: Historical Site,historical_site,Ocean Use Survey,Cultural,Feature,30,0,85,TRUE,TRUE,The areas used for Cultural Historical Sites. This data is derived from the Ocean Use Survey.
