nameCommon,nameVariable,category,categoryID,type,targetInitial,targetMin,targetMax,includeApp,includeJust,justification,,,,,,,,,,,,,,,,,,
abyssal,abyssal,Bathymetry,Bathymetry,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
lower bathyal ,lower bathyal ,Bathymetry,Bathymetry,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
upper bathyal ,upper bathyal ,Bathymetry,Bathymetry,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
continental shelf ,continental shelf ,Bathymetry,Bathymetry,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Abyssal_Hills ,Abyssal_Hills ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Abyssal_Plains ,Abyssal_Plains ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Basins_perched_on_the_shelf ,Basins_perched_on_the_shelf ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Basins_perched_on_the_slope ,Basins_perched_on_the_slope ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Canyons_blind ,Canyons_blind ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Canyons_shelf_incising ,Canyons_shelf_incising ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Escarpments ,Escarpments ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Major_ocean_basins ,Major_ocean_basins ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Sills ,Sills ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Small_basins_of_seas_and_oceans ,Small_basins_of_seas_and_oceans ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Small_shelf_valley ,Small_shelf_valley ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Terraces ,Terraces ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Bridges ,Bridges ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Fans ,Fans ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Glacial_troughs ,Glacial_troughs ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Guyots ,Guyots ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Large_basins_of_seas_and_oceans ,Large_basins_of_seas_and_oceans ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Large_shelf_valleys_and_glacial_troughs ,Large_shelf_valleys_and_glacial_troughs ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Moderate_size_shelf_valley,Moderate_size_shelf_valley,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Plateaus ,Plateaus ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Ridges ,Ridges ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Rift_valleys,Rift_valleys,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Rises ,Rises ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Spreading_ridges,Spreading_ridges,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Trenches ,Trenches ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
Troughs ,Troughs ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
knolls ,knolls ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
seamounts ,seamounts ,Geomorphology,Geomorphology,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
enviro_zone_1 ,enviro_zone_1 ,Bioregionalisation,Bioregionalisation,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
enviro_zone_2 ,enviro_zone_2 ,Bioregionalisation,Bioregionalisation,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
enviro_zone_3 ,enviro_zone_3 ,Bioregionalisation,Bioregionalisation,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
antipatharia ,antipatharia ,Corals,Corals,Feature,30,0,85,TRUE,TRUE,,,,,,,,,,,,,,,,,,,
